DRXFDCD,DRXFCLD,parent_foodcode,parent_desc,Similarity,
24104020,"CHICKEN, FRIED, NO COATING, NS PART, W/O SKIN",24107070,"Chicken, NS as to part, fried, coated, skin / coating eaten",0.878,
11710949,"Gerber Good Start 2 Protect Plus, infant formula, prepared from powder, made with baby water",11710929,"Infant formula, powder, made with baby water (Gerber Good Start Protect)",0.878,
53107200,"CAKE, CUPCAKE, NS AS TO TYPE, W/ICING",53100100,"Cake or cupcake, NS as to type",0.878,
58106640,"Pizza with extra meat, NS as to type of crust",58106660,"Pizza with extra meat, thick crust",0.878,
24144210,"CHICKEN, DRUMSTICK, FRIED, NO COATING, W/ SKIN",24147300,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",0.877,
56203231,"Oatmeal, cooked, regular, made with milk, NS as to fat added in cooking",56203067,"Oatmeal, regular or quick, made with milk, fat added",0.877,
24144200,"CHICKEN, DRUMSTICK, FRIED, NO COATING,NS AS TO SKIN",24147300,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",0.877,
53510200,"Danish pastry, with nuts",53510000,"Danish pastry, plain or spice",0.877,
24144220,"CHICKEN, DRUMSTICK, FRIED, NO COATING, W/O SKIN",24147300,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",0.877,
58161405,"Rice, brown, with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, NS as to fat added in cooking",58161530,"Rice, brown, with other vegetables, NS as to fat",0.877,
58161407,"Rice, brown, with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, fat not added in cooking",58161532,"Rice, brown, with other vegetables, no added fat",0.877,
58161409,"Rice, brown, with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, fat added in cooking",58161534,"Rice, brown, with other vegetables, fat added",0.877,
56203211,"Oatmeal, cooked, regular, made with milk, fat not added in cooking",56203066,"Oatmeal, regular or quick, made with milk, no added fat",0.877,
56203221,"Oatmeal, cooked, regular, made with milk, fat added in cooking",56203067,"Oatmeal, regular or quick, made with milk, fat added",0.877,
92650805,Vault Zero Energy drink,95310800,Energy drink (Vault),0.877,
51161100,"Roll, sweet, with fruit and nuts, no frosting",51160000,"Roll, sweet, no frosting",0.876,
58106733,"Pizza with extra meat and extra vegetables, prepared from frozen, thin crust",58106736,"Pizza with extra meat and extra vegetables, thin crust",0.876,
25221530,"SALAMI, BEEF",25221500,"Salami, NFS",0.875,
58106441,"Pizza with chicken and vegetables, thin crust",58109070,"Pizza, chicken and vegetables, whole wheat thin crust",0.875,"added code 58109070 for Pizza, chicken and vegetables, whole wheat thin crust"
58106734,"Pizza with extra meat and extra vegetables, prepared from frozen, thick crust",58106737,"Pizza with extra meat and extra vegetables, thick crust",0.875,
72128510,"Turnip greens, canned, low sodium, cooked, fat not added in cooking",72128236,"Turnip greens, canned, reduced sodium, cooked, NS as to fat added in cooking",0.875,
71501070,"White potato, from dry, mashed, made with milk, fat, egg and cheese",71501045,"Potato, mashed, from dry mix, made with milk, with cheese",0.875,
24107060,"Chicken, NS as to part, coated, baked or fried, prepared skinless, coating not eaten",24127201,"Chicken breast, fried, coated, skin / coating not eaten, from raw",0.874,
25210230,"FRANKFURTER OR HOT DOG, BEEF AND PORK, LOWFAT",25210750,"Frankfurter or hot dog, reduced fat or light, NFS",0.874,
92510820,GRAPE JUICE DRINK,64116020,"Grape juice, 100%",0.873,
58104450,CHIMICHANGA W/ BEEF AND TOMATO,58104500,Chimichanga with meat,0.873,
11330000,"MILK, SOY, DRY, RECONSTITUTED, NOT BABY",11320000,Soy milk,0.872,
92302300,"TEA, LEAF, PRESWEETENED W/ LOW CALORIE SWEETENER",92305040,"Tea, iced, instant, black, pre-sweetened with sugar",0.872,
58100250,"Burrito with chicken, rice, and cheese",58100256,Burrito with chicken and rice,0.872,added code 58100256 for Burrito with chicken and rice
58132810,SPAGHETTI W/ RED CLAM SAUCE,58146361,"Pasta with tomato-based sauce and seafood, restaurant",0.872,
51302020,"BREAD, WHEAT BRAN, TOASTED",51301510,"Bread, wheat or cracked wheat, reduced calorie and/or high fiber",0.871,
58104080,"NACHOS W/ BEEF, BEANS, CHEESE & SOUR CREAM",58104099,"Nachos with meat, beans, cheese and sour cream",0.871,"added code 58104099 for Nachos with meat, beans, cheese and sour cream"
54202010,"CRACKERS, SALTINE, LOW SODIUM",54202020,"Crackers, saltine, reduced sodium",0.871,
28320110,"PORK & RICE SOUP, STEW TYPE, CHUNKY STYLE",28320160,"Pork vegetable soup with potato, pasta, or rice, stew type, chunky style",0.871,
92530520,CRANBERRY-APPLE JUICE DRINK W/ VITAMIN C ADDED,64100200,"Cranberry juice blend, 100% juice",0.87,
42110015,"Mixed nuts, salted",42110100,"Mixed nuts, with peanuts, salted",0.87,
56112030,"NOODLES, COOKED, FAT ADDED",56112000,"Noodles, cooked",0.87,
56112010,"NOODLES, COOKED, NO FAT ADDED",56112000,"Noodles, cooked",0.87,
51220000,"ROLL, 100% WHOLE WHEAT",51320500,"Roll, whole wheat",0.87,
56201530,"CORNMEAL MUSH, MADE W/ MILK",56201515,"Cornmeal mush, NS as to fat",0.869,
56203233,"Oatmeal, cooked, instant, made with milk, NS as to fat added in cooking",56203095,"Oatmeal, instant, plain, made with milk, NS as to fat",0.869,
56203213,"Oatmeal, cooked, instant, made with milk, fat not added in cooking",56203096,"Oatmeal, instant, plain, made with milk, no added fat",0.869,
56203223,"Oatmeal, cooked, instant, made with milk, fat added in cooking",56203097,"Oatmeal,  instant, plain, made with milk, fat added",0.869,
92153100,"Coffee, decaffeinated, with cereal",92291300,"Coffee substitute, dry powder",0.869,
54403020,"POPCORN, POPPED IN OIL, BUTTERED",54403046,"Popcorn, popped in oil, with added butter or margarine",0.868,
56207212,"Whole wheat cereal, cooked, made with milk",56207022,"Cream of wheat, regular or quick, made with milk, no added fat",0.868,
56207087,"Wheat, cream of, cooked, regular, made with milk, fat not added in cooking",56207022,"Cream of wheat, regular or quick, made with milk, no added fat",0.867,
11710937,"Gerber Good Start 2 Gentle Plus, infant formula, prepared from powder, made with tap water",11710917,"Infant formula, powder, made with tap water (Gerber Good Start Gentle)",0.867,
43103200,SESAME PASTE,43103300,Tahini,0.867,
53204830,"COOKIE, BROWNIE, LOWFAT, W/ ICING",53204100,"Cookie, brownie, with icing or filling",0.866,
24201010,"TURKEY, LIGHT MEAT, COOKED, NS AS TO SKIN",24201020,"Turkey, light meat, skin not eaten",0.866,
24122120,"CHICKEN, BREAST, ROASTED OR BROILED, W/O SKIN",24122131,"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",0.864,
53109100,"CAKE, CUPCAKE, NOT CHOCOLATE, W/O ICING OR FILLING",53106500,"Cake, cream, without icing or topping",0.864,
92302700,"TEA, LEAF, DECAFFEINATED, LOW CALORIE SWEETENER",92305110,"Tea, iced, instant, black, decaffeinated, pre-sweetened with low calorie sweetener",0.864,
24122100,"CHICKEN, BREAST, ROASTED OR BROILED, NS AS TO SKIN",24122131,"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",0.864,
11710482,"Similac Go and Grow, infant formula, prepared from powder, made with tap water",11710481,"Infant formula, powder, made with water, NFS (Similac Go and Grow)",0.863,
11720302,"PROSOBEE, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11720312,"Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)",0.862,
25210610,"FRANKFURTER OR HOT DOG, BEEF, LOWFAT",25210620,"Frankfurter or hot dog, beef, reduced fat or light",0.862,
31104000,"EGGS, WHOLE, POACHED",31103010,"Egg, whole, boiled or poached",0.861,
71501060,"White potato, from dry, mashed, made with milk, fat and egg",71501040,"Potato, mashed, from dry mix, made with milk",0.861,
27510390,"DOUBLE BACON CHEESEBURGER, ON BUN",27510446,"Double bacon cheeseburger, 2 medium patties, plain, on bun, from fast food / restaurant",0.861,
41601170,BEAN & RICE SOUP,41601010,"Bean soup, NFS",0.861,
24152210,"CHICKEN, THIGH, BROILED OR ROASTED, W/ SKIN",24152230,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",0.861,
24152200,"CHICKEN, THIGH, BROILED OR ROASTED, NS AS TO SKIN",24152231,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",0.861,
24152220,"CHICKEN, THIGH, BROILED OR ROASTED, W/O SKIN",24152231,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",0.861,
24154223,"Chicken, thigh, fried, no coating, skin not eaten, made with oil",24157302,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",0.86,
58100400,"ENCHILADA W/ BEEF, NO BEANS",58100530,"Enchilada with meat, red-chile or enchilada sauce",0.86,
24154213,"Chicken, thigh, fried, no coating, skin eaten, made with oil",24157301,"Chicken thigh, fried, coated, skin / coating not eaten, from raw",0.86,
27510450,"Cheeseburger, 1/4 lb meat, with ham, on bun",27510155,"Cheeseburger, NFS",0.859,
11740301,"Nutramigen, with iron, infant formula, ready-to-feed",11740311,"Infant formula, ready-to-feed (Enfamil Nutramigen)",0.859,
91781010,Snickers Marathon Protein bar,53720500,Nutrition bar (Snickers Marathon Protein Bar),0.859,
24201500,"TURKEY, SMOKED, NS AS TO SKIN",24203120,"Turkey, wing, smoked, skin eaten",0.858,
57308150,"MUESLIX CEREAL, NFS",57308190,"Cereal, muesli",0.858,
53209050,"COOKIE, CHOCOLATE SANDWICH, CHOCOLATE COVERED",53209015,"Cookie, chocolate sandwich",0.857,
92511290,PAPAYA JUICE DRINK,64120010,"Papaya juice, 100%",0.857,
24127155,"Chicken, breast, coated, baked or fried, prepared skinless, coating eaten, made without fat",24127202,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.857,
24127165,"Chicken, breast, coated, baked or fried, prepared skinless, coating not eaten, made without fat",24127202,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.857,
61219000,ORANGE & BANANA JUICE,67211000,"Orange-apple-banana juice, baby food",0.857,
58100180,BURRITO W/ PORK & BEANS,58100120,Burrito with meat and beans,0.857,
92510910,GRAPEFRUIT JUICE DRINK,61201020,"Grapefruit juice, 100%, NS as to form",0.857,
11710484,"Similac Go and Grow, infant formula, prepared from powder, made with baby water",11710481,"Infant formula, powder, made with water, NFS (Similac Go and Grow)",0.857,
58100510,"ENCHILADA W/ BEEF & BEANS (INCLUDE ENCHILADA, NFS)",58100520,"Enchilada with meat and beans, red-chile or enchilada sauce",0.856,
24124113,"Chicken, breast, fried, no coating, skin eaten, made with oil",24127200,"Chicken breast, fried, coated, skin / coating eaten, from raw",0.856,
24124123,"Chicken, breast, fried, no coating, skin not eaten, made with oil",24127201,"Chicken breast, fried, coated, skin / coating not eaten, from raw",0.856,
54325050,"CRACKERS, SALTINE, WHOLE WHEAT",54325060,"Crackers, saltine, multigrain",0.855,
58160314,"Rice with peas and carrots, fat added in cooking",58160500,"Rice, white, with peas and carrots, no added fat",0.855,
58160310,"Rice with peas and carrots, NS as to fat added in cooking",58160490,"Rice, white, with peas and carrots, NS as to fat",0.855,
58160312,"Rice with peas and carrots, fat not added in cooking",58160510,"Rice, white, with peas and carrots, fat added",0.855,
75602010,"CAULIFLOWER SOUP, CREAM OF, W/ MILK",75612015,"Cauliflower soup, cream of, prepared with milk",0.854,"added code 75612015 for Cauliflower soup, cream of, prepared with milk"
53540902,Nature Valley Chewy Granola Bar with Yogurt Coating,53710902,"Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)",0.854,
11512000,"COCOA,HOT CHOCOLATE,NOT FROM DRY MIX, W/WHOLE MILK",11514110,"Hot chocolate / Cocoa, made with dry mix and whole milk",0.853,
56201510,"CORNMEAL MUSH, MADE W/ WATER",56201515,"Cornmeal mush, NS as to fat",0.853,
56114000,"NOODLES, SPINACH, COOKED, NO FAT ADDED",72125200,"Spinach, cooked, NS as to form, NS as to fat added in cooking",0.853,
11720629,"Gerber Good Start 2 Soy Plus, infant formula, prepared from powder, made with baby water",11720619,"Infant formula, powder, made with baby water (Gerber Good Start Soy)",0.853,
56114020,"Noodles, cooked, spinach, fat added in cooking",56113990,"Noodles, vegetable, cooked",0.853,
53540806,Kashi TLC Crunchy Granola Bar,53710802,Cereal or granola bar (Kashi Crunchy),0.853,
53710806,Kashi TLC Crunchy Granola Bar,53710802,Cereal or granola bar (Kashi Crunchy),0.853,
92611510,"RICE BEVERAGE, MEXICAN (HORCHATA)",92610030,"Horchata beverage, made with milk",0.852,
71403000,"WHITE POTATO, HOME FRIES",71403020,"Potato, home fries, NFS",0.852,
42110020,"Mixed nuts, without salt",42110120,"Mixed nuts, with peanuts, unsalted",0.852,
83201050,"BLUE OR ROQUEFORT CHEESE DRESSING, REDUCED CALORIE",83101000,Blue or roquefort cheese dressing,0.852,
56131000,"SPAGHETTI, COOKED, FAT ADDED",58146211,Pasta with sauce only,0.851,added code 58146211 for Pasta with sauce only
24137200,"Chicken, leg (drumstick and thigh), coated, baked or fried, prepared with skin, NS as to skin/coating eaten",24137311,"Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten",0.851,
27560330,"Frankfurter or hot dog, with cheese, plain, on bun",27564005,"Frankfurter or hot dog sandwich, with cheese, plain, on white bun",0.851,"added code 27564005 for Frankfurter or hot dog sandwich, with cheese, plain, on white bun"
71201010,"WHITE POTATO, CHIPS (INCL FLAVORED)",71200410,"Potato chips, baked, flavored",0.851,
56130010,"SPAGHETTI, COOKED, NO FAT ADDED",58146211,Pasta with sauce only,0.851,
56205400,"RICE, COOKED, NS AS TO TYPE, FAT ADDED IN COOKING",56205007,"Rice, white, cooked, fat added, NS as to fat type",0.851,
51201010,"BREAD, 100% WHOLE WHEAT",51300110,"Bread, whole wheat",0.851,
24144212,"Chicken, drumstick, fried, no coating, skin eaten, made with butter",24147301,"Chicken drumstick, fried, coated, skin / coating not eaten, from raw",0.85,
58163110,RICE W/ GRAVY,58164530,"Rice, white, with gravy, NS as to fat",0.849,
53540402,Kellogg's Nutri-Grain Yogurt Bar,53710502,Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),0.849,
11720301,"PROSOBEE, W/ IRON, INFANT FORMULA, READY-TO-FEED",11720311,"Infant formula, ready-to-feed (Enfamil ProSobee)",0.848,
54337050,"CRACKER, 100% WHOLE WHEAT, REDUCED FAT",54338100,"Crackers, wheat, reduced fat",0.848,
53540404,Kellogg's Nutri-Grain Fruit and Nut Bar,53710504,Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),0.847,
64132020,"PRUNE JUICE, UNSWEETENED",64132010,"Prune juice, 100%",0.847,
11710401,"SIMILAC W/ IRON, INFANT FORMULA, READY-TO-FEED",11710381,"Infant formula, ready-to-feed (Similac for Spit-Up)",0.846,
71201080,"WHITE POTATO, CHIPS, FAT FREE",71201060,"Potato chips, fat free",0.846,
71501090,"WHITE POTATO, FROM DRY, MASHED, W/ MILK, NO FAT",71501040,"Potato, mashed, from dry mix, made with milk",0.846,
71501300,"WHITE POTATO, FROM DRY, MASHED, NS AS TO MILK OR FAT",71501040,"Potato, mashed, from dry mix, made with milk",0.846,
28141060,CHICKEN PATTY W/ VEGETABLES (DIET FROZEN MEAL),28141250,"Chicken with rice and vegetable, diet frozen meal",0.845,
11220200,"Milk, condensed, sweetened, diluted",11220000,"Milk, condensed, sweetened",0.845,
25230710,"SANDWICH LOAF, LUNCHEON MEAT",25230610,"Luncheon meat, loaf type",0.843,
28310220,"Chili beef soup, chunky style",75656060,"Vegetable beef soup, chunky style",0.843,
32105082,"Egg omelet or scrambled egg, with ham or bacon, cheese, and vegetables other than dark-green",32131100,"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, no added fat",0.842,
11710658,"Enfamil LIPIL, infant formula, prepared from powder, made with plain bottled water",11710668,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",0.842,
24154200,"CHICKEN, THIGH, FRIED, NO COATING, NS AS TO SKIN",24157321,"Chicken thigh, fried, coated, skin / coating not eaten, from fast food",0.842,
24154210,"CHICKEN, THIGH, FRIED, NO COATING, W/ SKIN",24157300,"Chicken thigh, fried, coated, skin / coating eaten, from raw",0.842,
24154220,"CHICKEN, THIGH, FRIED, NO COATING, W/O SKIN",24157321,"Chicken thigh, fried, coated, skin / coating not eaten, from fast food",0.842,
51302060,"Bread, wheat bran, with raisins, toasted",51129020,"Bread, raisin, toasted",0.842,
11740329,"Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with baby water",11740313,"Infant formula, powder, made with water, NFS (Enfamil Nutramigen)",0.841,
24147251,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten, made with shortening",24147302,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",0.841,
11740319,"Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with baby water",11740313,"Infant formula, powder, made with water, NFS (Enfamil Nutramigen)",0.841,
58106413,"Pizza with chicken, thick crust",58109075,Pizza with chicken whole wheat thick crust,0.841,added code 58109075 for Pizza with chicken whole wheat thick crust
53103550,"Cake, butter, without icing",53118410,"Rum cake, without icing",0.841,
91104200,"SUGAR, RAW",91101000,"Sugar, NFS",0.84,
92302400,"TEA, LEAF, PRESWEETENED, NS AS TO SWEETENER",92305040,"Tea, iced, instant, black, pre-sweetened with sugar",0.84,
11710400,"SIMILAC W/ IRON, INFANT FORMULA, NS AS TO FORM",11710480,"Infant formula, NS as to form (Similac Go and Grow)",0.84,
53540906,Nature Valley Crunchy Granola Bar,53710906,Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),0.839,
11740300,"NUTRAMIGEN, W/ IRON, INFANT FORMULA, NS AS TO FORM",11740310,"Infant formula, NS as to form (Enfamil Nutramigen)",0.839,
11561000,Cafe con leche,92101850,"Coffee, cafe con leche",0.839,
75302050,"BEANS, GREEN, & POTATOES, COOKED, NO FAT ADDED",75302500,"Beans, string, green, and potatoes, cooked, NS as to fat added in cooking",0.839,
51301830,"BAGEL, WHEAT, W/ FRUITS & NUTS, TOASTED",51301820,"Bagel, wheat, with fruit and nuts",0.839,
24124100,"CHICKEN, BREAST, FRIED, NO COATING, NS AS TO SKIN",24127200,"Chicken breast, fried, coated, skin / coating eaten, from raw",0.838,
58100410,"Burrito with beef, cheese, and sour cream",58100135,Burrito with meat and sour cream,0.838,
24124110,"CHICKEN, BREAST, FRIED, NO COATING, W/ SKIN",24127201,"Chicken breast, fried, coated, skin / coating not eaten, from raw",0.838,
24124120,"CHICKEN, BREAST, FRIED, NO COATING, W/O SKIN",24127201,"Chicken breast, fried, coated, skin / coating not eaten, from raw",0.838,
92301190,"TEA, PRESWEETENED, NS SWEETENER, DECAFFEINATED",92305050,"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",0.838,
53206010,"COOKIE, CHOCOLATE CHIP W/ RAISINS",53206025,"Cookie, chocolate chip, with raisins",0.838,"added code 53206025 for Cookie, chocolate chip, with raisins"
51502100,"Roll, oat bran",51000400,"Roll, bran, NS as to type of bran",0.837,
56203050,"OATMEAL, REGULAR, FAT ADDED IN COOKING",56203067,"Oatmeal, regular or quick, made with milk, fat added",0.837,
11720402,"ISOMIL, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11720412,"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",0.836,
58161310,"RICE, BROWN, W/ TOMATO SAUCE",58161464,"Rice, brown, with tomatoes and/or tomato based sauce, fat added",0.836,
54202050,"CRACKERS, SALTINE, FAT FREE, LOW SODIUM",54202020,"Crackers, saltine, reduced sodium",0.835,
53234010,"COOKIE, PEANUT BUTTER W/ OATMEAL",53234000,"Cookie, peanut butter",0.835,
53540802,Kashi TLC Chewy Granola Bar,53710800,Cereal or granola bar (Kashi Chewy),0.835,
11710656,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with baby water",11710635,"Infant formula, liquid concentrate, made with baby water (Enfamil Infant)",0.835,
58132820,SPAGHETTI W/ WHITE CLAM SAUCE,58146442,"Pasta with cream sauce and seafood, home recipe",0.835,
92301100,"TEA, NS AS TO TYPE, DECAFFEINATED, UNSWEETENED",92308550,"Tea, iced, brewed, green, decaffeinated, unsweetened",0.835,
54205030,"CRACKER, CHEESE, LOW SODIUM",54304110,"Crackers, cheese, reduced sodium",0.834,
71205000,"WHITE POTATO, STICKS (INCL FRENCH FRY SHAPED)",71205040,"Potato sticks, fry shaped",0.834,
41435300,Balance Original Bar,53720100,Nutrition bar (Balance Original Bar),0.834,
11445000,"Yogurt, fruit and nuts, lowfat milk",11432000,"Yogurt, low fat milk, fruit",0.834,
11710654,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with tap water",11710633,"Infant formula, liquid concentrate, made with tap water (Enfamil Infant)",0.834,
76601010,"VEGETABLE & BACON, BABY, STRAINED",76603020,"Vegetable and beef, baby food, junior",0.833,
58100110,"BURRITO W/ BEEF & BEANS (INCLUDE BURRITO,NFS)",58100120,Burrito with meat and beans,0.833,
11211200,"MILK, EVAPORATED, WHOLE, DILUTED",11211050,"Milk, evaporated, whole",0.833,
53540900,Nature Valley Chewy Trail Mix Granola Bar,53710900,Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix),0.833,
28315130,"BEEF VEG SOUP W/ RICE, STEW TYPE, CHUNKY STYLE",75652050,"Vegetable beef soup with rice, home recipe",0.832,
58145150,MACARONI W/ CHEESE & HAM,27212050,Beef and macaroni with cheese sauce,0.832,
58106411,"Pizza with chicken, thin crust",58109075,Pizza with chicken whole wheat thick crust,0.832,
27146000,"CHICKEN OR TURKEY WITH BARBECUE SAUCE (MIXTURE), SKIN EATEN",24209000,"Turkey with barbecue sauce, skin eaten",0.832,
11710201,"SIMILAC, LOW IRON, INFANT FORMULA, READY-TO-FEED",11710381,"Infant formula, ready-to-feed (Similac for Spit-Up)",0.832,
11710402,"SIMILAC W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11720412,"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",0.831,
63408200,GUACAMOLE W/ TOMATOES & CHILI PEPPERS,63409015,Guacamole with tomatoes,0.831,
53205500,"COOKIE, BUTTERSCOTCH CHIP",53205250,"Cookie, butterscotch, brownie",0.83,
83201200,"BLUE/ROQUEFORT CHEESE DRESSING,RED CAL,NO FAT/CHOL",83101000,Blue or roquefort cheese dressing,0.829,
11740520,"Enfamil Premature LIPIL 20, with iron, infant formula, NS as to form",11740521,"Infant formula, ready-to-feed, with iron (Enfamil Premature 20 Cal)",0.829,
81103060,"Margarine, tub, unsalted",81103030,"Margarine, stick, unsalted",0.828,
58132310,SPAGHETTI W/TOMAT SAUCE & MEAT SAUCE,27162040,Spaghetti sauce with meat,0.828,
53710804,Kashi GOLEAN Crunchy Bars,57301511,Cereal (Kashi GOLEAN Crunch),0.827,
92302800,"Tea, leaf, decaffeinated, presweetened, NS as to sweetener",92305050,"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",0.827,
53540804,Kashi GOLEAN Crunchy Bars,57301511,Cereal (Kashi GOLEAN Crunch),0.827,
56203070,"OATMEAL, INSTANT, FAT ADDED",56203097,"Oatmeal,  instant, plain, made with milk, fat added",0.827,
56203080,"OATMEAL, INSTANT, NS AS TO ADDED FAT",56203096,"Oatmeal, instant, plain, made with milk, no added fat",0.827,
51180040,"BAGEL, W/ RAISINS, TOASTED",51180030,"Bagel, with raisins",0.827,
25220480,"BOLOGNA, CHICKEN, BEEF, & PORK",25220410,"Bologna, NFS",0.827,
51152000,"ROLL, WHITE, SOFT, REDUCED CALORIE/ HIGH FIBER",51122000,"Bread, reduced calorie and/or high fiber, white or NFS",0.826,
51204010,"BREAD, WHEAT GERM",51300140,"Bread, whole wheat, made from home recipe or purchased at bakery",0.826,
55206000,"Waffle, oat bran",55205000,"Waffle, whole grain",0.826,
27560370,"FRANKFURTER /DOG CHILI & CHEESE,BUN (CHILI CHEESE DOG)",27120210,"Frankfurter or hot dog, with chili, no bun",0.826,
58407000,"INSTANT SOUP, NFS",58407010,"Instant soup, noodle",0.826,
58100600,"ENCHILADA W/ CHICKEN, TOMATO-BASE SAUCE",58100630,"Enchilada with chicken, red-chile or enchilada sauce",0.826,
58107030,"PIZZA, NO CHEESE, NS AS TO TYPE OF CRUST",58107100,"Pizza, no cheese, thick crust",0.826,
74406050,"BARBECUE SAUCE, LOW SODIUM",74406010,Barbecue sauce,0.826,
71405100,"WHITE POTATO, HASH BROWN W/ CHEESE",71405019,"Potato, hash brown, from fresh, with cheese",0.825,
92302600,"TEA, LEAF, DECAFFEINATED, PRESWEETENED W/ SUGAR",92305050,"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",0.824,
11720300,"PROSOBEE, W/ IRON, INFANT FORMULA, NS AS TO FORM",11720310,"Infant formula, NS as to form (Enfamil ProSobee)",0.824,
58147310,"MACARONI, CREAMED",58147330,"Macaroni or noodles, creamed, with cheese",0.824,
11710202,"SIMILAC, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11720412,"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",0.823,
83101500,BACON DRESSING (HOT),83101600,Bacon and tomato dressing,0.823,
56205030,"RICE, WHITE, COOKED, INST,NO FAT ADDED IN COOKING",56205008,"Rice, white, cooked, no added fat",0.823,
11710200,"Similac, low iron, infant formula, NS as to form",11710480,"Infant formula, NS as to form (Similac Go and Grow)",0.823,
11710651,"Enfamil Lipil, with iron, infant formula, ready-to-feed",11710661,"Infant formula, ready-to-feed (Enfamil A.R.)",0.823,
53540904,Nature Valley Sweet and Salty Nut Granola Bar,53710904,Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),0.823,
83110010,"Mayonnaise-type salad dressing, cholesterol-free",83110000,Mayonnaise-type salad dressing,0.823,
75230100,"Sauerkraut, canned, low sodium",75230000,Sauerkraut,0.822,
21540100,"Ground beef with textured vegetable protein, cooked",41440000,"Textured vegetable protein, dry",0.821,
51208110,"BAGEL, 100% WHOLE WHEAT, W/ RAISINS, TOASTED",51301805,"Bagel, whole wheat, with raisins",0.821,
24147225,"Chicken, drumstick, from fast food, coated, baked or fried, prepared with skin, NS as to skin/coating eaten",24147311,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",0.821,
52302610,"Muffin, chocolate, lowfat",52302600,"Muffin, chocolate",0.821,
24147230,"Chicken, drumstick, from fast food, coated, baked or fried, prepared with skin, skin/coating eaten",24147310,"Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked",0.821,
24147235,"Chicken, drumstick, from fast food, coated, baked or fried, prepared with skin, skin/coating not eaten",24147311,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",0.821,
32105030,"EGG OMELET OR SCRAMBLED EGG, W/ HAM OR BACON",32130190,"Egg omelet or scrambled egg, with meat, NS as to fat",0.82,
58163210,"RICE, CREAMED",58164500,"Rice, white, with cheese and/or cream based sauce, NS as to fat",0.82,
58160290,"Rice with corn, NS as to fat added in cooking",58160410,"Rice, white, with corn, no added fat",0.82,
58160294,"Rice with corn, fat added in cooking",58160420,"Rice, white, with corn, fat added",0.82,
58132800,"SPAGHETTI W/ CLAM SAUCE, NS AS TO RED OR WHITE",58146442,"Pasta with cream sauce and seafood, home recipe",0.82,
58160292,"Rice with corn, fat not added in cooking",58160410,"Rice, white, with corn, no added fat",0.82,
75607130,"MUSHROOM SOUP, MADE FROM DRY MIX",75607000,"Mushroom soup, NFS",0.82,
32105119,"Egg omelet or scrambled egg, with sausage, cheese, and vegetables other than dark-green",32131100,"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, no added fat",0.819,
58132110,"SPAGHETTI W/ TOMATO SAUCE, MEATLESS",58146211,Pasta with sauce only,0.819,
