DRXFDCD,DRXFCLD,parent_foodcode,parent_desc,Similarity
92301180.0,"TEA, DECAFFEINATED, LOW CALORIE SWEETENER, NFS",92130031.0,"Coffee, decaffeinated, pre-sweetened with low calorie sweetener",0.882
58106443.0,"Pizza with chicken and vegetables, thick crust",58106830.0,"Pizza with beans and vegetables, thick crust",0.882
53540400.0,Kellogg's Nutri-Grain Cereal Bar,53710500.0,Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),0.882
53206050.0,"COOKIE,RICH,CHOCOLATE CHIP,W/ CHOCOLATE FILLING",53207050.0,"Cookie, chocolate, with chocolate filling or coating, fat free",0.881
71501030.0,"WHITE POTATO, FROM FRESH, MASHED, MADE W/ FAT",71501013.0,"Potato, mashed, from fresh, NFS",0.88
75609020.0,"PEA SOUP, PREPARED W/ WATER",71801020.0,"Potato soup, prepared with water",0.88
64116010.0,"GRAPE JUICE, NFS",64116020.0,"Grape juice, 100%",0.879
71305011.0,"White potato, scalloped, fat not added in cooking",71305015.0,"Potato, scalloped, NFS",0.879
53104520.0,"CHEESECAKE, DIET",53104500.0,Cheesecake,0.879
52208750.0,"GORDITA/SOPE SHELL,PLAIN NO FILL,GRILL,NO FAT ADDED",52208760.0,"Gordita/sope shell, plain, no filling",0.878
24104000.0,"CHICKEN, FRIED, NO COATING, NS PART, NS SKIN",24107070.0,"Chicken, NS as to part, fried, coated, skin / coating eaten",0.878
24104020.0,"CHICKEN, FRIED, NO COATING, NS PART, W/O SKIN",24107070.0,"Chicken, NS as to part, fried, coated, skin / coating eaten",0.878
11710949.0,"Gerber Good Start 2 Protect Plus, infant formula, prepared from powder, made with baby water",11710929.0,"Infant formula, powder, made with baby water (Gerber Good Start Protect)",0.878
53107200.0,"CAKE, CUPCAKE, NS AS TO TYPE, W/ICING",53100100.0,"Cake or cupcake, NS as to type",0.878
58106640.0,"Pizza with extra meat, NS as to type of crust",58106660.0,"Pizza with extra meat, thick crust",0.878
24144210.0,"CHICKEN, DRUMSTICK, FRIED, NO COATING, W/ SKIN",24147300.0,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",0.877
56203231.0,"Oatmeal, cooked, regular, made with milk, NS as to fat added in cooking",56203066.0,"Oatmeal, regular or quick, made with milk, no added fat",0.877
24144200.0,"CHICKEN, DRUMSTICK, FRIED, NO COATING,NS AS TO SKIN",24147300.0,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",0.877
53510200.0,"Danish pastry, with nuts",53511000.0,"Danish pastry, with cheese",0.877
24144220.0,"CHICKEN, DRUMSTICK, FRIED, NO COATING, W/O SKIN",24147300.0,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",0.877
58161405.0,"Rice, brown, with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, NS as to fat added in cooking",27315020.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",0.877
58161407.0,"Rice, brown, with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, fat not added in cooking",27315020.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",0.877
58161409.0,"Rice, brown, with vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce, fat added in cooking",27315020.0,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",0.877
56203211.0,"Oatmeal, cooked, regular, made with milk, fat not added in cooking",56203066.0,"Oatmeal, regular or quick, made with milk, no added fat",0.877
56203221.0,"Oatmeal, cooked, regular, made with milk, fat added in cooking",56203066.0,"Oatmeal, regular or quick, made with milk, no added fat",0.877
92650805.0,Vault Zero Energy drink,95310800.0,Energy drink (Vault),0.877
51161100.0,"Roll, sweet, with fruit and nuts, no frosting",51160000.0,"Roll, sweet, no frosting",0.876
58106733.0,"Pizza with extra meat and extra vegetables, prepared from frozen, thin crust",58106736.0,"Pizza with extra meat and extra vegetables, thin crust",0.876
25221530.0,"SALAMI, BEEF",25221500.0,"Salami, NFS",0.875
58106441.0,"Pizza with chicken and vegetables, thin crust",58106820.0,"Pizza with beans and vegetables, thin crust",0.875
58106734.0,"Pizza with extra meat and extra vegetables, prepared from frozen, thick crust",58106737.0,"Pizza with extra meat and extra vegetables, thick crust",0.875
72128510.0,"Turnip greens, canned, low sodium, cooked, fat not added in cooking",72128236.0,"Turnip greens, canned, reduced sodium, cooked, NS as to fat added in cooking",0.875
71501070.0,"White potato, from dry, mashed, made with milk, fat, egg and cheese",71501045.0,"Potato, mashed, from dry mix, made with milk, with cheese",0.875
24107060.0,"Chicken, NS as to part, coated, baked or fried, prepared skinless, coating not eaten",24127202.0,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.874
25210230.0,"FRANKFURTER OR HOT DOG, BEEF AND PORK, LOWFAT",25210220.0,"Frankfurter or hot dog, beef and pork",0.874
92510820.0,GRAPE JUICE DRINK,92550200.0,"Grape juice drink, light",0.873
58104450.0,CHIMICHANGA W/ BEEF AND TOMATO,58104500.0,Chimichanga with meat,0.873
11330000.0,"MILK, SOY, DRY, RECONSTITUTED, NOT BABY",11121210.0,"Milk, dry, reconstituted, low fat (1%)",0.872
92302300.0,"TEA, LEAF, PRESWEETENED W/ LOW CALORIE SWEETENER",92130030.0,"Coffee, pre-sweetened with low calorie sweetener",0.872
58100250.0,"Burrito with chicken, rice, and cheese",58100200.0,Burrito with chicken,0.872
58132810.0,SPAGHETTI W/ RED CLAM SAUCE,74404010.0,Spaghetti sauce,0.872
51302020.0,"BREAD, WHEAT BRAN, TOASTED",51501050.0,"Bread, oat bran, toasted",0.871
58104080.0,"NACHOS W/ BEEF, BEANS, CHEESE & SOUR CREAM",58104090.0,Nachos with cheese and sour cream,0.871
54202010.0,"CRACKERS, SALTINE, LOW SODIUM",54202020.0,"Crackers, saltine, reduced sodium",0.871
28320110.0,"PORK & RICE SOUP, STEW TYPE, CHUNKY STYLE",28320160.0,"Pork vegetable soup with potato, pasta, or rice, stew type, chunky style",0.871
92530520.0,CRANBERRY-APPLE JUICE DRINK W/ VITAMIN C ADDED,92530510.0,"Cranberry juice drink, with high vitamin C",0.87
42110015.0,"Mixed nuts, salted",42110100.0,"Mixed nuts, with peanuts, salted",0.87
56112030.0,"NOODLES, COOKED, FAT ADDED",56112000.0,"Noodles, cooked",0.87
56112010.0,"NOODLES, COOKED, NO FAT ADDED",56112000.0,"Noodles, cooked",0.87
51220000.0,"ROLL, 100% WHOLE WHEAT",51320500.0,"Roll, whole wheat",0.87
56201530.0,"CORNMEAL MUSH, MADE W/ MILK",56201515.0,"Cornmeal mush, NS as to fat",0.869
56203233.0,"Oatmeal, cooked, instant, made with milk, NS as to fat added in cooking",56203096.0,"Oatmeal, instant, plain, made with milk, no added fat",0.869
56203213.0,"Oatmeal, cooked, instant, made with milk, fat not added in cooking",56203096.0,"Oatmeal, instant, plain, made with milk, no added fat",0.869
56203223.0,"Oatmeal, cooked, instant, made with milk, fat added in cooking",56203096.0,"Oatmeal, instant, plain, made with milk, no added fat",0.869
92153100.0,"Coffee, decaffeinated, with cereal",92101910.0,"Coffee, Latte, decaffeinated",0.869
54403020.0,"POPCORN, POPPED IN OIL, BUTTERED",54403045.0,"Popcorn, popped in oil, unbuttered",0.868
56207212.0,"Whole wheat cereal, cooked, made with milk",56207190.0,"Whole wheat cereal, cooked, NS as to fat",0.868
56207087.0,"Wheat, cream of, cooked, regular, made with milk, fat not added in cooking",56207023.0,"Cream of wheat, regular or quick, made with milk, fat added",0.867
11710937.0,"Gerber Good Start 2 Gentle Plus, infant formula, prepared from powder, made with tap water",11710917.0,"Infant formula, powder, made with tap water (Gerber Good Start Gentle)",0.867
43103200.0,SESAME PASTE,82107000.0,Sesame oil,0.867
53204830.0,"COOKIE, BROWNIE, LOWFAT, W/ ICING",53204000.0,"Cookie, brownie, NS as to icing",0.866
24201010.0,"TURKEY, LIGHT MEAT, COOKED, NS AS TO SKIN",24201020.0,"Turkey, light meat, skin not eaten",0.866
24122120.0,"CHICKEN, BREAST, ROASTED OR BROILED, W/O SKIN",24122130.0,"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",0.864
53109100.0,"CAKE, CUPCAKE, NOT CHOCOLATE, W/O ICING OR FILLING",53105300.0,"Cake or cupcake, German chocolate, with icing or filling",0.864
92302700.0,"TEA, LEAF, DECAFFEINATED, LOW CALORIE SWEETENER",92130031.0,"Coffee, decaffeinated, pre-sweetened with low calorie sweetener",0.864
24122100.0,"CHICKEN, BREAST, ROASTED OR BROILED, NS AS TO SKIN",24122130.0,"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",0.864
11710482.0,"Similac Go and Grow, infant formula, prepared from powder, made with tap water",11710481.0,"Infant formula, powder, made with water, NFS (Similac Go and Grow)",0.863
11720302.0,"PROSOBEE, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11720312.0,"Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)",0.862
25210610.0,"FRANKFURTER OR HOT DOG, BEEF, LOWFAT",25210210.0,"Frankfurter or hot dog, beef",0.862
31104000.0,"EGGS, WHOLE, POACHED",31103010.0,"Egg, whole, boiled or poached",0.861
71501060.0,"White potato, from dry, mashed, made with milk, fat and egg",71501040.0,"Potato, mashed, from dry mix, made with milk",0.861
27510390.0,"DOUBLE BACON CHEESEBURGER, ON BUN",27510431.0,"Double bacon cheeseburger, 2 small patties, with condiments, on bun, from fast food / restaurant (Burger King Bacon Double Cheeseburger)",0.861
41601170.0,BEAN & RICE SOUP,41601010.0,"Bean soup, NFS",0.861
24152210.0,"CHICKEN, THIGH, BROILED OR ROASTED, W/ SKIN",24152230.0,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",0.861
24152200.0,"CHICKEN, THIGH, BROILED OR ROASTED, NS AS TO SKIN",24152230.0,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",0.861
24152220.0,"CHICKEN, THIGH, BROILED OR ROASTED, W/O SKIN",24152230.0,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",0.861
24154223.0,"Chicken, thigh, fried, no coating, skin not eaten, made with oil",24157300.0,"Chicken thigh, fried, coated, skin / coating eaten, from raw",0.86
58100400.0,"ENCHILADA W/ BEEF, NO BEANS",58100520.0,"Enchilada with meat and beans, red-chile or enchilada sauce",0.86
24154213.0,"Chicken, thigh, fried, no coating, skin eaten, made with oil",24157300.0,"Chicken thigh, fried, coated, skin / coating eaten, from raw",0.86
27510450.0,"Cheeseburger, 1/4 lb meat, with ham, on bun",27510155.0,"Cheeseburger, NFS",0.859
11740301.0,"Nutramigen, with iron, infant formula, ready-to-feed",11740311.0,"Infant formula, ready-to-feed (Enfamil Nutramigen)",0.859
91781010.0,Snickers Marathon Protein bar,53720500.0,Nutrition bar (Snickers Marathon Protein Bar),0.859
24201500.0,"TURKEY, SMOKED, NS AS TO SKIN",24203120.0,"Turkey, wing, smoked, skin eaten",0.858
57308150.0,"MUESLIX CEREAL, NFS",57308190.0,"Cereal, muesli",0.858
53209050.0,"COOKIE, CHOCOLATE SANDWICH, CHOCOLATE COVERED",53209015.0,"Cookie, chocolate sandwich",0.857
92511290.0,PAPAYA JUICE DRINK,64120010.0,"Papaya juice, 100%",0.857
24127155.0,"Chicken, breast, coated, baked or fried, prepared skinless, coating eaten, made without fat",24127202.0,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.857
24127165.0,"Chicken, breast, coated, baked or fried, prepared skinless, coating not eaten, made without fat",24127202.0,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",0.857
61219000.0,ORANGE & BANANA JUICE,67211000.0,"Orange-apple-banana juice, baby food",0.857
58100180.0,BURRITO W/ PORK & BEANS,58100120.0,Burrito with meat and beans,0.857
92510910.0,GRAPEFRUIT JUICE DRINK,61201020.0,"Grapefruit juice, 100%, NS as to form",0.857
11710484.0,"Similac Go and Grow, infant formula, prepared from powder, made with baby water",11710481.0,"Infant formula, powder, made with water, NFS (Similac Go and Grow)",0.857
58100510.0,"ENCHILADA W/ BEEF & BEANS (INCLUDE ENCHILADA, NFS)",58100520.0,"Enchilada with meat and beans, red-chile or enchilada sauce",0.856
24124113.0,"Chicken, breast, fried, no coating, skin eaten, made with oil",24127200.0,"Chicken breast, fried, coated, skin / coating eaten, from raw",0.856
24124123.0,"Chicken, breast, fried, no coating, skin not eaten, made with oil",24127200.0,"Chicken breast, fried, coated, skin / coating eaten, from raw",0.856
54325050.0,"CRACKERS, SALTINE, WHOLE WHEAT",54325000.0,"Crackers, saltine",0.855
58160314.0,"Rice with peas and carrots, fat added in cooking",58160510.0,"Rice, white, with peas and carrots, fat added",0.855
58160310.0,"Rice with peas and carrots, NS as to fat added in cooking",58160510.0,"Rice, white, with peas and carrots, fat added",0.855
58160312.0,"Rice with peas and carrots, fat not added in cooking",58160510.0,"Rice, white, with peas and carrots, fat added",0.855
75602010.0,"CAULIFLOWER SOUP, CREAM OF, W/ MILK",75409010.0,"Cauliflower, NS as to form, creamed",0.854
53540902.0,Nature Valley Chewy Granola Bar with Yogurt Coating,53710902.0,"Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)",0.854
11512000.0,"COCOA,HOT CHOCOLATE,NOT FROM DRY MIX, W/WHOLE MILK",11514110.0,"Hot chocolate / Cocoa, made with dry mix and whole milk",0.853
56201510.0,"CORNMEAL MUSH, MADE W/ WATER",56201515.0,"Cornmeal mush, NS as to fat",0.853
56114000.0,"NOODLES, SPINACH, COOKED, NO FAT ADDED",72125200.0,"Spinach, cooked, NS as to form, NS as to fat added in cooking",0.853
11720629.0,"Gerber Good Start 2 Soy Plus, infant formula, prepared from powder, made with baby water",11720619.0,"Infant formula, powder, made with baby water (Gerber Good Start Soy)",0.853
56114020.0,"Noodles, cooked, spinach, fat added in cooking",72125200.0,"Spinach, cooked, NS as to form, NS as to fat added in cooking",0.853
53540806.0,Kashi TLC Crunchy Granola Bar,53710802.0,Cereal or granola bar (Kashi Crunchy),0.853
53710806.0,Kashi TLC Crunchy Granola Bar,53710802.0,Cereal or granola bar (Kashi Crunchy),0.853
92611510.0,"RICE BEVERAGE, MEXICAN (HORCHATA)",92610030.0,"Horchata beverage, made with milk",0.852
71403000.0,"WHITE POTATO, HOME FRIES",71403020.0,"Potato, home fries, NFS",0.852
42110020.0,"Mixed nuts, without salt",42110150.0,"Mixed nuts, without peanuts, salted",0.852
83201050.0,"BLUE OR ROQUEFORT CHEESE DRESSING, REDUCED CALORIE",83101000.0,Blue or roquefort cheese dressing,0.852
56131000.0,"SPAGHETTI, COOKED, FAT ADDED",75233200.0,"Squash, spaghetti, cooked, NS as to fat added in cooking",0.851
24137200.0,"Chicken, leg (drumstick and thigh), coated, baked or fried, prepared with skin, NS as to skin/coating eaten",24137300.0,"Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten",0.851
27560330.0,"Frankfurter or hot dog, with cheese, plain, on bun",25210110.0,"Frankfurter or hot dog, NFS",0.851
71201010.0,"WHITE POTATO, CHIPS (INCL FLAVORED)",71200410.0,"Potato chips, baked, flavored",0.851
56130010.0,"SPAGHETTI, COOKED, NO FAT ADDED",75233200.0,"Squash, spaghetti, cooked, NS as to fat added in cooking",0.851
56205400.0,"RICE, COOKED, NS AS TO TYPE, FAT ADDED IN COOKING",56205007.0,"Rice, white, cooked, fat added, NS as to fat type",0.851
51201010.0,"BREAD, 100% WHOLE WHEAT",51300110.0,"Bread, whole wheat",0.851
24144212.0,"Chicken, drumstick, fried, no coating, skin eaten, made with butter",24147300.0,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",0.85
58163110.0,RICE W/ GRAVY,28520010.0,"Gravy, NFS",0.849
53540402.0,Kellogg's Nutri-Grain Yogurt Bar,53710502.0,Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),0.849
11720301.0,"PROSOBEE, W/ IRON, INFANT FORMULA, READY-TO-FEED",11720311.0,"Infant formula, ready-to-feed (Enfamil ProSobee)",0.848
54337050.0,"CRACKER, 100% WHOLE WHEAT, REDUCED FAT",54338100.0,"Crackers, wheat, reduced fat",0.848
53540404.0,Kellogg's Nutri-Grain Fruit and Nut Bar,53710504.0,Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),0.847
64132020.0,"PRUNE JUICE, UNSWEETENED",62122220.0,"Prune, dried, cooked, unsweetened",0.847
11710401.0,"SIMILAC W/ IRON, INFANT FORMULA, READY-TO-FEED",11710381.0,"Infant formula, ready-to-feed (Similac for Spit-Up)",0.846
71201080.0,"WHITE POTATO, CHIPS, FAT FREE",71201060.0,"Potato chips, fat free",0.846
71501090.0,"WHITE POTATO, FROM DRY, MASHED, W/ MILK, NO FAT",71501040.0,"Potato, mashed, from dry mix, made with milk",0.846
71501300.0,"WHITE POTATO, FROM DRY, MASHED, NS AS TO MILK OR FAT",71501040.0,"Potato, mashed, from dry mix, made with milk",0.846
28141060.0,CHICKEN PATTY W/ VEGETABLES (DIET FROZEN MEAL),28141250.0,"Chicken with rice and vegetable, diet frozen meal",0.845
11220200.0,"Milk, condensed, sweetened, diluted",11220000.0,"Milk, condensed, sweetened",0.845
25230710.0,"SANDWICH LOAF, LUNCHEON MEAT",25230610.0,"Luncheon meat, loaf type",0.843
28310220.0,"Chili beef soup, chunky style",75656060.0,"Vegetable beef soup, chunky style",0.843
32105082.0,"Egg omelet or scrambled egg, with ham or bacon, cheese, and vegetables other than dark-green",32130710.0,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, NS as to fat",0.842
11710658.0,"Enfamil LIPIL, infant formula, prepared from powder, made with plain bottled water",11710668.0,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",0.842
24154200.0,"CHICKEN, THIGH, FRIED, NO COATING, NS AS TO SKIN",24157300.0,"Chicken thigh, fried, coated, skin / coating eaten, from raw",0.842
24154210.0,"CHICKEN, THIGH, FRIED, NO COATING, W/ SKIN",24157300.0,"Chicken thigh, fried, coated, skin / coating eaten, from raw",0.842
24154220.0,"CHICKEN, THIGH, FRIED, NO COATING, W/O SKIN",24157300.0,"Chicken thigh, fried, coated, skin / coating eaten, from raw",0.842
51302060.0,"Bread, wheat bran, with raisins, toasted",51129020.0,"Bread, raisin, toasted",0.842
11740329.0,"Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with baby water",11740313.0,"Infant formula, powder, made with water, NFS (Enfamil Nutramigen)",0.841
24147251.0,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten, made with shortening",24147302.0,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",0.841
11740319.0,"Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with baby water",11740313.0,"Infant formula, powder, made with water, NFS (Enfamil Nutramigen)",0.841
58106413.0,"Pizza with chicken, thick crust",58107100.0,"Pizza, no cheese, thick crust",0.841
53103550.0,"Cake, butter, without icing",53118410.0,"Rum cake, without icing",0.841
91104200.0,"SUGAR, RAW",91101000.0,"Sugar, NFS",0.84
92302400.0,"TEA, LEAF, PRESWEETENED, NS AS TO SWEETENER",62119200.0,"Pear, dried, cooked, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener",0.84
11710400.0,"SIMILAC W/ IRON, INFANT FORMULA, NS AS TO FORM",11710480.0,"Infant formula, NS as to form (Similac Go and Grow)",0.84
53540906.0,Nature Valley Crunchy Granola Bar,53710906.0,Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),0.839
11740300.0,"NUTRAMIGEN, W/ IRON, INFANT FORMULA, NS AS TO FORM",11740310.0,"Infant formula, NS as to form (Enfamil Nutramigen)",0.839
11561000.0,Cafe con leche,92101850.0,"Coffee, cafe con leche",0.839
75302050.0,"BEANS, GREEN, & POTATOES, COOKED, NO FAT ADDED",75302500.0,"Beans, string, green, and potatoes, cooked, NS as to fat added in cooking",0.839
51301830.0,"BAGEL, WHEAT, W/ FRUITS & NUTS, TOASTED",51301820.0,"Bagel, wheat, with fruit and nuts",0.839
24124100.0,"CHICKEN, BREAST, FRIED, NO COATING, NS AS TO SKIN",24127200.0,"Chicken breast, fried, coated, skin / coating eaten, from raw",0.838
58100410.0,"Burrito with beef, cheese, and sour cream",58100135.0,Burrito with meat and sour cream,0.838
24124110.0,"CHICKEN, BREAST, FRIED, NO COATING, W/ SKIN",24127200.0,"Chicken breast, fried, coated, skin / coating eaten, from raw",0.838
24124120.0,"CHICKEN, BREAST, FRIED, NO COATING, W/O SKIN",24127200.0,"Chicken breast, fried, coated, skin / coating eaten, from raw",0.838
92301190.0,"TEA, PRESWEETENED, NS SWEETENER, DECAFFEINATED",92130031.0,"Coffee, decaffeinated, pre-sweetened with low calorie sweetener",0.838
53206010.0,"COOKIE, CHOCOLATE CHIP W/ RAISINS",53206000.0,"Cookie, chocolate chip",0.838
51502100.0,"Roll, oat bran",51000400.0,"Roll, bran, NS as to type of bran",0.837
56203050.0,"OATMEAL, REGULAR, FAT ADDED IN COOKING",56203067.0,"Oatmeal, regular or quick, made with milk, fat added",0.837
11720402.0,"ISOMIL, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11720412.0,"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",0.836
58161310.0,"RICE, BROWN, W/ TOMATO SAUCE",58161325.0,"Rice, brown, with beans and tomatoes",0.836
54202050.0,"CRACKERS, SALTINE, FAT FREE, LOW SODIUM",54202020.0,"Crackers, saltine, reduced sodium",0.835
53234010.0,"COOKIE, PEANUT BUTTER W/ OATMEAL",53234000.0,"Cookie, peanut butter",0.835
53540802.0,Kashi TLC Chewy Granola Bar,53710800.0,Cereal or granola bar (Kashi Chewy),0.835
11710656.0,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with baby water",11710635.0,"Infant formula, liquid concentrate, made with baby water (Enfamil Infant)",0.835
58132820.0,SPAGHETTI W/ WHITE CLAM SAUCE,74404010.0,Spaghetti sauce,0.835
92301100.0,"TEA, NS AS TO TYPE, DECAFFEINATED, UNSWEETENED",92308550.0,"Tea, iced, brewed, green, decaffeinated, unsweetened",0.835
54205030.0,"CRACKER, CHEESE, LOW SODIUM",54304110.0,"Crackers, cheese, reduced sodium",0.834
71205000.0,"WHITE POTATO, STICKS (INCL FRENCH FRY SHAPED)",71205040.0,"Potato sticks, fry shaped",0.834
41435300.0,Balance Original Bar,53720100.0,Nutrition bar (Balance Original Bar),0.834
11445000.0,"Yogurt, fruit and nuts, lowfat milk",11432000.0,"Yogurt, low fat milk, fruit",0.834
11710654.0,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with tap water",11710633.0,"Infant formula, liquid concentrate, made with tap water (Enfamil Infant)",0.834
76601010.0,"VEGETABLE & BACON, BABY, STRAINED",76501000.0,"Vegetables and rice, baby food, strained",0.833
58100110.0,"BURRITO W/ BEEF & BEANS (INCLUDE BURRITO,NFS)",58100120.0,Burrito with meat and beans,0.833
11211200.0,"MILK, EVAPORATED, WHOLE, DILUTED",11211050.0,"Milk, evaporated, whole",0.833
53540900.0,Nature Valley Chewy Trail Mix Granola Bar,53710900.0,Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix),0.833
28315130.0,"BEEF VEG SOUP W/ RICE, STEW TYPE, CHUNKY STYLE",75656060.0,"Vegetable beef soup, chunky style",0.832
58145150.0,MACARONI W/ CHEESE & HAM,27212050.0,Beef and macaroni with cheese sauce,0.832
58106411.0,"Pizza with chicken, thin crust",58107050.0,"Pizza, no cheese, thin crust",0.832
27146000.0,"CHICKEN OR TURKEY WITH BARBECUE SAUCE (MIXTURE), SKIN EATEN",24209000.0,"Turkey with barbecue sauce, skin eaten",0.832
11710201.0,"SIMILAC, LOW IRON, INFANT FORMULA, READY-TO-FEED",11710381.0,"Infant formula, ready-to-feed (Similac for Spit-Up)",0.832
11710402.0,"SIMILAC W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11720412.0,"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",0.831
63408200.0,GUACAMOLE W/ TOMATOES & CHILI PEPPERS,63409015.0,Guacamole with tomatoes,0.831
53205500.0,"COOKIE, BUTTERSCOTCH CHIP",53205250.0,"Cookie, butterscotch, brownie",0.83
83201200.0,"BLUE/ROQUEFORT CHEESE DRESSING,RED CAL,NO FAT/CHOL",83101000.0,Blue or roquefort cheese dressing,0.829
11740520.0,"Enfamil Premature LIPIL 20, with iron, infant formula, NS as to form",11740521.0,"Infant formula, ready-to-feed, with iron (Enfamil Premature 20 Cal)",0.829
81103060.0,"Margarine, tub, unsalted",81103030.0,"Margarine, stick, unsalted",0.828
58132310.0,SPAGHETTI W/TOMAT SAUCE & MEAT SAUCE,27162040.0,Spaghetti sauce with meat,0.828
53710804.0,Kashi GOLEAN Crunchy Bars,57301511.0,Cereal (Kashi GOLEAN Crunch),0.827
92302800.0,"Tea, leaf, decaffeinated, presweetened, NS as to sweetener",92130031.0,"Coffee, decaffeinated, pre-sweetened with low calorie sweetener",0.827
53540804.0,Kashi GOLEAN Crunchy Bars,57301511.0,Cereal (Kashi GOLEAN Crunch),0.827
56203070.0,"OATMEAL, INSTANT, FAT ADDED",56203097.0,"Oatmeal,  instant, plain, made with milk, fat added",0.827
56203080.0,"OATMEAL, INSTANT, NS AS TO ADDED FAT",56203097.0,"Oatmeal,  instant, plain, made with milk, fat added",0.827
51180040.0,"BAGEL, W/ RAISINS, TOASTED",51180030.0,"Bagel, with raisins",0.827
25220480.0,"BOLOGNA, CHICKEN, BEEF, & PORK",25220410.0,"Bologna, NFS",0.827
51152000.0,"ROLL, WHITE, SOFT, REDUCED CALORIE/ HIGH FIBER",51122000.0,"Bread, reduced calorie and/or high fiber, white or NFS",0.826
51204010.0,"BREAD, WHEAT GERM",82109000.0,Wheat germ oil,0.826
55206000.0,"Waffle, oat bran",55200010.0,"Waffle, NFS",0.826
27560370.0,"FRANKFURTER /DOG CHILI & CHEESE,BUN (CHILI CHEESE DOG)",27120210.0,"Frankfurter or hot dog, with chili, no bun",0.826
58407000.0,"INSTANT SOUP, NFS",58407010.0,"Instant soup, noodle",0.826
58100600.0,"ENCHILADA W/ CHICKEN, TOMATO-BASE SAUCE",58100630.0,"Enchilada with chicken, red-chile or enchilada sauce",0.826
58107030.0,"PIZZA, NO CHEESE, NS AS TO TYPE OF CRUST",58107100.0,"Pizza, no cheese, thick crust",0.826
74406050.0,"BARBECUE SAUCE, LOW SODIUM",74406010.0,Barbecue sauce,0.826
71405100.0,"WHITE POTATO, HASH BROWN W/ CHEESE",71404000.0,"Potato, hash brown, NFS",0.825
92302600.0,"TEA, LEAF, DECAFFEINATED, PRESWEETENED W/ SUGAR",92130021.0,"Coffee, decaffeinated, pre-sweetened with sugar",0.824
11720300.0,"PROSOBEE, W/ IRON, INFANT FORMULA, NS AS TO FORM",11720310.0,"Infant formula, NS as to form (Enfamil ProSobee)",0.824
58147310.0,"MACARONI, CREAMED",58147330.0,"Macaroni or noodles, creamed, with cheese",0.824
11710202.0,"SIMILAC, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",11720412.0,"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",0.823
83101500.0,BACON DRESSING (HOT),83101600.0,Bacon and tomato dressing,0.823
56205030.0,"RICE, WHITE, COOKED, INST,NO FAT ADDED IN COOKING",56205008.0,"Rice, white, cooked, no added fat",0.823
11710200.0,"Similac, low iron, infant formula, NS as to form",11710480.0,"Infant formula, NS as to form (Similac Go and Grow)",0.823
11710651.0,"Enfamil Lipil, with iron, infant formula, ready-to-feed",11710661.0,"Infant formula, ready-to-feed (Enfamil A.R.)",0.823
53540904.0,Nature Valley Sweet and Salty Nut Granola Bar,53710904.0,Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),0.823
